No,Outlook,Temperature,Humidity,Wind,Play Tennis
1,Sunny,Hot,High,Weak,No
2,Sunny,Hot,High,Strong,No
3,Overcast,Hot,High,Weak,Yes
4,Rain,Mild,High,Weak,Yes
5,Rain,Cool,Normal,Weak,Yes
6,Rain,Cool,Normal,Strong,No
7,Overcast,Cool,Normal,Strong,Yes
8,Sunny,Mild,High,Weak,No
9,Sunny,Cool,Normal,Weak,Yes
10,Rain,Mild,Normal,Weak,Yes
11,Sunny,Mild,Normal,Strong,Yes
12,Overcast,Mild,High,Strong,Yes
13,Overcast,Hot,Normal,Weak,Yes
14,Rain,Mild,High,Strong,No
15,Sunny,Cool,High,Weak,No
16,Sunny,Cool,High,Strong,No
17,Sunny,Hot,Normal,Weak,Yes
18,Sunny,Hot,Normal,Strong,Yes
19,Overcast,Cool,High,Weak,Yes
20,Overcast,Cool,High,Strong,Yes
21,Overcast,Mild,Normal,Weak,Yes
22,Overcast,Mild,Normal,Strong,Yes
23,Rain,Hot,High,Weak,Yes
24,Rain,Hot,High,Strong,No
25,Rain,Hot,Normal,Weak,Yes
26,Rain,Hot,Normal,Strong,No
27,Rain,Cool,High,Weak,Yes
28,Rain,Cool,High,Strong,No
29,Rain,Mild,Normal,Strong,Yes
30,Sunny,Mild,High,Strong,No
31,Sunny,Cool,Normal,Strong,Yes
32,Sunny,Hot,High,Weak,No
33,Sunny,Hot,Normal,Weak,Yes
34,Sunny,Mild,Normal,Weak,Yes
35,Overcast,Hot,High,Strong,Yes
36,Overcast,Hot,Normal,Strong,Yes
37,Overcast,Cool,Normal,Weak,Yes
38,Overcast,Mild,High,Weak,Yes
39,Rain,Mild,High,Weak,Yes
40,Rain,Cool,Normal,Weak,Yes
41,Rain,Hot,High,Strong,No
42,Sunny,Cool,High,Weak,No
43,Sunny,Mild,Normal,Strong,Yes
44,Sunny,Hot,High,Strong,No
45,Overcast,Cool,High,Weak,Yes
46,Overcast,Mild,Normal,Strong,Yes
47,Rain,Mild,Normal,Weak,Yes
48,Rain,Cool,High,Strong,No
49,Sunny,Cool,Normal,Weak,Yes
50,Overcast,Hot,Normal,Weak,Yes
